

2016年09月14日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
"1414  ","東和            ","76611","22","455236","5.92","5.98","5.92","5.98","+","0.02","5.94","8","6","6","59.8"
"1416  ","廣豐            ","548896","241","12046930","21.85","22.2","21.8","21.95","+","0.1","21.9","11","21.95","8","5.79"
"1417  ","嘉裕            ","158100","57","804536","5.06","5.1","5.06","5.1","-","0.04","5.08","10","5.1","1","0.00"
"1418  ","東華            ","3042","3","13680","4.5","4.5","4.5","4.5","-","0.01","4.5","3","4.89","5","0.00"
"1419  ","新紡            ","0","0","0","--","--","--","--"," ","0","38.4","1","38.7","2","85.67"
"1423  ","利華            ","5004","8","33724","6.74","6.74","6.74","6.74","+","0.03","6.62","1","6.74","1","0.00"
"1432  ","大魯閣          ","92000","38","1717850","18.85","18.85","18.5","18.6","-","0.15","18.6","6","18.65","4","0.00"
"1434  ","福懋            ","1737580","829","50486175","29.05","29.4","28.95","28.95","-","0.35","28.95","103","29","2","17.98"
"1435  ","中福            ","10004","11","43886","4.38","4.45","4.38","4.45","-","0.01","4.37","7","4.45","3","0.00"
"1436  ","華友聯          ","27005","15","1093248","40.7","40.7","40","40.5","-","0.35","39.95","1","40.2","2","368.18"
"1437  ","勤益控          ","86000","27","1309400","15.15","15.35","15.15","15.25","+","0.1","15.25","7","15.3","14","8.97"
"1438  ","裕豐            ","5000","1","21000","4.2","4.2","4.2","4.2"," ","0","4.2","6","4.33","8","0.00"
"1439  ","中和            ","690105","199","11614740","16.65","17","16.65","17","+","0.35","16.95","5","17","26","0.00"
"1440  ","南紡            ","1582149","321","19495293","12.45","12.45","12.2","12.45","+","0.05","12.4","21","12.45","89","24.9"
"1441  ","大東            ","25247","12","186166","7.35","7.43","7.3","7.43","+","0.08","7.31","3","7.43","4","0.00"
"1442  ","名軒            ","508929","99","9729945","19.35","19.55","19.05","19.05","-","0.4","19","44","19.05","128","13.42"
"1443  ","立益            ","38031","7","177842","4.67","4.84","4.67","4.68","+","0.01","4.69","1","4.8","1","0.00"
